,year,state,state_po,FIPS,county,party,won_proportion
81,2008,Arizona,AZ,04027,Yuma,democrat,0.4255187435515304
82,2008,Arkansas,AR,05001,Arkansas,democrat,0.3753224419604471
83,2008,Arkansas,AR,05003,Ashley,democrat,0.34436473038648463
84,2008,Arkansas,AR,05005,Baxter,democrat,0.3272608978529603
85,2008,Arkansas,AR,05007,Benton,democrat,0.30669225612240875
86,2008,Arkansas,AR,05009,Boone,democrat,0.28660979707897116
87,2008,Arkansas,AR,05011,Bradley,democrat,0.41573867854491464
88,2008,Arkansas,AR,05013,Calhoun,democrat,0.3116824537663509
89,2008,Arkansas,AR,05015,Carroll,democrat,0.39436619718309857
90,2008,Arkansas,AR,05017,Chicot,democrat,0.5842933947772657
91,2008,Arkansas,AR,05019,Clark,democrat,0.46921046844073017
92,2008,Arkansas,AR,05021,Clay,democrat,0.40718562874251496
93,2008,Arkansas,AR,05023,Cleburne,democrat,0.26027518080790263
94,2008,Arkansas,AR,05025,Cleveland,democrat,0.2599144079885877
95,2008,Arkansas,AR,05027,Columbia,democrat,0.3718351119481063
96,2008,Arkansas,AR,05029,Conway,democrat,0.3869501105922831
97,2008,Arkansas,AR,05031,Craighead,democrat,0.3646990441746319
98,2008,Arkansas,AR,05033,Crawford,democrat,0.25511396843950906
99,2008,Arkansas,AR,05035,Crittenden,democrat,0.5658723637359627
100,2008,Arkansas,AR,05037,Cross,democrat,0.36185133239831696
101,2008,Arkansas,AR,05039,Dallas,democrat,0.44333936106088007
102,2008,Arkansas,AR,05041,Desha,democrat,0.5491663103890552
103,2008,Arkansas,AR,05043,Drew,democrat,0.3930408472012103
104,2008,Arkansas,AR,05045,Faulkner,democrat,0.36317054809490273
105,2008,Arkansas,AR,05047,Franklin,democrat,0.28864864864864864
106,2008,Arkansas,AR,05049,Fulton,democrat,0.3890076988879384
107,2008,Arkansas,AR,05051,Garland,democrat,0.36366339577757956
108,2008,Arkansas,AR,05053,Grant,democrat,0.22994258795819225
109,2008,Arkansas,AR,05055,Greene,democrat,0.3336027034969145
110,2008,Arkansas,AR,05057,Hempstead,democrat,0.3903932507824194
111,2008,Arkansas,AR,05059,Hot Spring,democrat,0.3586783772480134
112,2008,Arkansas,AR,05061,Howard,democrat,0.3602971522905489
113,2008,Arkansas,AR,05063,Independence,democrat,0.2998617773802748
114,2008,Arkansas,AR,05065,Izard,democrat,0.3434266002299732
115,2008,Arkansas,AR,05067,Jackson,democrat,0.395378000716589
116,2008,Arkansas,AR,05069,Jefferson,democrat,0.6219475226514871
117,2008,Arkansas,AR,05071,Johnson,democrat,0.3709046454767726
118,2008,Arkansas,AR,05073,Lafayette,democrat,0.39042039972432807
119,2008,Arkansas,AR,05075,Lawrence,democrat,0.36672384219554033
120,2008,Arkansas,AR,05077,Lee,democrat,0.6013818761626362
121,2008,Arkansas,AR,05079,Lincoln,democrat,0.3881071266454834
122,2008,Arkansas,AR,05081,Little River,democrat,0.3402562111801242
123,2008,Arkansas,AR,05083,Logan,democrat,0.2891109143796636
124,2008,Arkansas,AR,05085,Lonoke,democrat,0.25137947011499095
125,2008,Arkansas,AR,05087,Madison,democrat,0.3388116308470291
126,2008,Arkansas,AR,05089,Marion,democrat,0.33286791399050547
127,2008,Arkansas,AR,05091,Miller,democrat,0.3232423819956184
128,2008,Arkansas,AR,05093,Mississippi,democrat,0.47587437544610994
129,2008,Arkansas,AR,05095,Monroe,democrat,0.4682516671498985
130,2008,Arkansas,AR,05097,Montgomery,democrat,0.3014908890115958
131,2008,Arkansas,AR,05099,Nevada,democrat,0.4055020632737277
132,2008,Arkansas,AR,05101,Newton,democrat,0.29848484848484846
133,2008,Arkansas,AR,05103,Ouachita,democrat,0.4363453815261044
134,2008,Arkansas,AR,05105,Perry,democrat,0.31596167328815145
135,2008,Arkansas,AR,05107,Phillips,democrat,0.6349648790277623
136,2008,Arkansas,AR,05109,Pike,democrat,0.2745839636913767
137,2008,Arkansas,AR,05111,Poinsett,democrat,0.3458627648839556
138,2008,Arkansas,AR,05113,Polk,democrat,0.25478453326389794
139,2008,Arkansas,AR,05115,Pope,democrat,0.27184202183069883
140,2008,Arkansas,AR,05117,Prairie,democrat,0.30996746524696833
141,2008,Arkansas,AR,05119,Pulaski,democrat,0.5507149365017385
142,2008,Arkansas,AR,05121,Randolph,democrat,0.39072638075644883
143,2008,Arkansas,AR,05123,St. Francis,democrat,0.5771699105733824
144,2008,Arkansas,AR,05125,Saline,democrat,0.28430340626609635
145,2008,Arkansas,AR,05127,Scott,democrat,0.26357947434292867
146,2008,Arkansas,AR,05129,Searcy,democrat,0.24980504289056407
147,2008,Arkansas,AR,05131,Sebastian,democrat,0.31641673609182636
148,2008,Arkansas,AR,05133,Sevier,democrat,0.28187772925764193
149,2008,Arkansas,AR,05135,Sharp,democrat,0.3359073359073359
150,2008,Arkansas,AR,05137,Stone,democrat,0.3001502629601803
151,2008,Arkansas,AR,05139,Union,democrat,0.3603236509692066
152,2008,Arkansas,AR,05141,Van Buren,democrat,0.32090108906459797
153,2008,Arkansas,AR,05143,Washington,democrat,0.42440772155601053
154,2008,Arkansas,AR,05145,White,democrat,0.24974958263772956
155,2008,Arkansas,AR,05147,Woodruff,democrat,0.5114089098152843
156,2008,Arkansas,AR,05149,Yell,democrat,0.3318422796554009
157,2008,California,CA,06001,Alameda,democrat,0.7875735271621777
158,2008,California,CA,06003,Alpine,democrat,0.6098265895953757
159,2008,California,CA,06005,Amador,democrat,0.41536416799574694
160,2008,California,CA,06007,Butte,democrat,0.4984795321637427
161,2008,California,CA,06009,Calaveras,democrat,0.4210503732944306
162,2008,California,CA,06011,Colusa,democrat,0.3995955825167211
163,2008,California,CA,06013,Contra Costa,democrat,0.6796922395660356
164,2008,California,CA,06015,Del Norte,democrat,0.45357255272269437
165,2008,California,CA,06017,El Dorado,democrat,0.4361427372317758
166,2008,California,CA,06019,Fresno,democrat,0.50206214720389
167,2008,California,CA,06021,Glenn,democrat,0.3779734790970746
168,2008,California,CA,06023,Humboldt,democrat,0.6228443203037959
169,2008,California,CA,06025,Imperial,democrat,0.6224111282843895
170,2008,California,CA,06027,Inyo,democrat,0.438649947263565
171,2008,California,CA,06029,Kern,democrat,0.40136139145372557
172,2008,California,CA,06031,Kings,democrat,0.42004671299988605
173,2008,California,CA,06033,Lake,democrat,0.5815519536449769
174,2008,California,CA,06035,Lassen,democrat,0.3149205234038816
175,2008,California,CA,06037,Los Angeles,democrat,0.6918871042791256
176,2008,California,CA,06039,Madera,democrat,0.4238460630386023
177,2008,California,CA,06041,Marin,democrat,0.7797599092705265
178,2008,California,CA,06043,Mariposa,democrat,0.4248264428556626
179,2008,California,CA,06045,Mendocino,democrat,0.695796681327469
180,2008,California,CA,06047,Merced,democrat,0.5333343781344032
181,2008,California,CA,06049,Modoc,democrat,0.29705882352941176
182,2008,California,CA,06051,Mono,democrat,0.5551965535810447
183,2008,California,CA,06053,Monterey,democrat,0.6815453487744928
184,2008,California,CA,06055,Napa,democrat,0.6513698400456055
